"Name","Disabled","TID","GameModeVariations","LocationThemes","MapTemplates"
"string","boolean","string","string","string","string"
"MineEnvironment",,"TID_ENVIRONMENT_MINE","GemGrab","Mine","Template_Gemgrab"
"DefaultEnvironment",,"TID_ENVIRONMENT_DEFAULT","Showdown","DefaultShowdown","Template_Survival"
,,,"Bounty","Default","Template_Bounty"
,,,"Heist","Default","Template_Heist"
,,,"DuoShowdown","DefaultShowdown","Template_Survival_2"
,,,"Knockout","Default","Template_Knockout"
,,,"KingOfHill","Default","Template_KingOfHill"
"ScrapyardEnvironment",true,"TID_ENVIRONMENT_SCRAPYARD","Siege","Scrapyard","Template_Siege"
"OasisEnvironment",true,"TID_ENVIRONMENT_OASIS","Bounty","Oasis","Template_Bounty"
"MortuaryEnvironment",,"TID_ENVIRONMENT_MORTUARY","Showdown","MortuaryShowdown","Template_Survival"
,,,"DuoShowdown","MortuaryShowdown","Template_Survival_2"
,,,"Knockout","Mortuary","Template_Knockout"
,,,"GemGrab","Mortuary","Template_Gemgrab"
,,,"Bounty","Mortuary","Template_Bounty"
,,,"Heist","Mortuary","Template_Heist"
,,,"KingOfHill","Mortuary","Template_KingOfHill"
"GrassfieldEnvironment",,"TID_ENVIRONMENT_GRASSFIELD","BrawlBall","Grassfield","Template_Laserball"
"BeachBallEnvironment",true,"TID_ENVIRONMENT_BEACHBALL","BrawlBall","GrassfieldBeachBall","Template_Laserball"
"ArcadeEnvironment",true,"TID_ENVIRONMENT_ARCADE","GemGrab","Arcade","Template_Gemgrab"
,,,"Bounty","Arcade","Template_Bounty"
,,,"Heist","Arcade","Template_Heist"
,,,"KingOfHill","Arcade","Template_KingOfHill"
"BazaarEnvironment",true,"TID_ENVIRONMENT_BAZAAR","GemGrab","Bazaar","Template_Gemgrab"
"MinicityEnvironment",true,"TID_ENVIRONMENT_MINICITY","GemGrab","Minicity","Template_Gemgrab"
"GiftShopEnvironment",true,"TID_ENVIRONMENT_GIFTSHOP","GemGrab","GiftShop","Template_Gemgrab"
"StarrForceEnvironment",true,"TID_ENVIRONMENT_DEFAULT","GemGrab","StarrForce","Template_Gemgrab"
"N_001_Custom",,,"GemGrab","Pyramidquest","Template_Gemgrab"
,,,"Bounty","Pyramidquest","Template_Bounty"
,,,"Heist","Pyramidquest","Template_Heist"
,,,"Knockout","Pyramidquest","Template_Knockout"
,,,"KingOfHill","Pyramidquest","Template_KingOfHill"
"N_002_Custom_Showdown",,,"GemGrab","Arcade","Template_Gemgrab"
,,,"Bounty","Arcade","Template_Bounty"
,,,"Heist","Arcade","Template_Heist"
,,,"Knockout","Arcade","Template_Knockout"
,,,"KingOfHill","Arcade","Template_KingOfHill"
,,,"Showdown","ArcadeShowdown","Template_Survival"
,,,"DuoShowdown","ArcadeShowdown","Template_Survival_2"
"N_003_Custom_BrawlBall",,,"GemGrab","BandStand","Template_Gemgrab"
,,,"Bounty","BandStand","Template_Bounty"
,,,"Heist","BandStand","Template_Heist"
,,,"Knockout","BandStand","Template_Knockout"
,,,"KingOfHill","BandStand","Template_KingOfHill"
,,,"BrawlBall","BBArenaAdidas","Template_Laserball"
"N_004_Custom_Showdown",,,"GemGrab","MadEvilManor","Template_Gemgrab"
,,,"Bounty","MadEvilManor","Template_Bounty"
,,,"Heist","MadEvilManor","Template_Heist"
,,,"Knockout","MadEvilManor","Template_Knockout"
,,,"KingOfHill","MadEvilManor","Template_KingOfHill"
,,,"Showdown","MadEvilManorShowdown","Template_Survival"
,,,"DuoShowdown","MadEvilManorShowdown","Template_Survival_2"
"N_005_Custom",,,"GemGrab","StarrToonsStudio","Template_Gemgrab"
,,,"Bounty","StarrToonsStudio","Template_Bounty"
,,,"Heist","StarrToonsStudio","Template_Heist"
,,,"Knockout","StarrToonsStudio","Template_Knockout"
,,,"KingOfHill","StarrToonsStudio","Template_KingOfHill"
"N_006_Custom",,,"GemGrab","OdditiesShop","Template_Gemgrab"
,,,"Bounty","OdditiesShop","Template_Bounty"
,,,"Heist","OdditiesShop","Template_Heist"
,,,"Knockout","OdditiesShop","Template_Knockout"
,,,"KingOfHill","OdditiesShop","Template_KingOfHill"
