"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BUTTON_SCID","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_EVENT_MODIFIER_65","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>ПАРАМЕТРЫ ИГРЫ</c>","<c750013>BATTLE SETTINGS</c>","<c750013>SAVAŞ AYARLARI</c>","<c750013>BATTLE SETTINGS</c>"
"TID_EVENT_MODIFIER_66","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","БЕЗ ЯДА","NO POISON","ZEHİR GAZI YOK","NO POISON"
"TID_EVENT_MODIFIER_67","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","МАСТЕР ИГРЫ","GAME MASTER","OYUN YÖNETİCİSİ","GAME MASTER"
"TID_EVENT_MODIFIER_68","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","ЧАТ В БОЮ","BATTLE CHAT","SAVAŞ SOHBETİ","BATTLE CHAT"
"TID_EVENT_MODIFIER_DESC_65","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","В этой комнате могут применяться дополнительные параметры игры.","This game room can have additional parameters set.","Bu oyun odasında bazı ek parametreler ayarlı.","This game room can have additional parameters set."
"TID_EVENT_MODIFIER_DESC_66","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Заполняющий карту яд будет полностью отключен.","Map filling poison will be completely disabled.","Haritayı dolduran zehir tamamen devre dışı bırakılacak.","Map filling poison will be completely disabled."
"TID_EVENT_MODIFIER_DESC_67","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","Все выбранные персонажи всегда видны создателю комнаты.","All selected brawlers are always shown to the room owner.","Seçilen savaşçılar oyun kurucusuna gözükür.","All selected brawlers are always shown to the room owner."
"TID_EVENT_MODIFIER_DESC_68","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Чат дружеской комнаты доступен даже в бою!","Team chat is available even in battle!","Takım sohbeti savaşların içinde kullanılabilir!","Team chat is available even in battle!"
"TID_GAME_MODE_19","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","ЗАЩИТА КОРОЛЯ","PROTECT KING","KRALI KORU","PROTECT KING"
